A,B,C,D,board start,board end,lvl,path
14,0,1,2,"BCD***********A ","ABCD ***********",19,15,11,10,14,13,9,10,11,7,3,2,1,5,9,8,4,5,1,0
14,0,1,7,"BC*****D******A ","* **ABCD********",19,15,11,10,14,13,9,10,6,2,1,5,9,10,6,2,1,0,4,5
14,0,2,5,"B*C**D********A ","* **ABCD********",19,15,11,10,14,13,9,10,6,5,9,10,11,7,6,2,1,0,4,5
14,0,2,10,"B*C*******D***A ","* **ABCD********",19,15,11,7,6,10,14,15,11,7,6,10,9,5,6,2,1,0,4,5
14,0,3,7,"B**C***D******A ","ABCD ***********",19,15,11,10,14,13,9,10,6,2,3,7,6,5,9,8,4,5,1,0
14,0,4,8,"B***C***D*****A ","A **B***C***D***",19,15,11,10,14,13,12,8,4,5,6,10,9,5,6,2,1,5,4,0
14,0,4,9,"B***C****D****A ","*A** B***C***D**",19,15,11,10,14,13,9,8,4,5,9,10,6,5,9,8,4,0,1,5
14,0,4,12,"B***C*******D*A ","A **B***C***D***",19,15,11,10,14,15,11,7,6,10,9,8,4,5,6,2,1,5,4,0
14,0,5,6,"B****CD*******A ","* **ABCD********",19,15,11,10,14,13,9,10,11,7,6,5,1,0,4,5,9,8,4,5
14,0,5,9,"B****C***D****A ","*A** B***C***D**",19,15,11,10,14,13,9,10,6,5,9,8,4,0,1,5,6,10,9,5
14,0,5,11,"B****C*****D**A ","A*** B****C****D",19,15,11,10,14,13,9,10,6,5,9,10,6,2,1,5,4,0,1,5
14,0,5,12,"B****C******D*A ","*A** B***C***D**",19,15,11,10,14,13,12,8,4,0,1,2,6,10,9,5,6,2,1,5
14,0,6,2,"B*D***C*******A ","ABCD ***********",19,15,11,10,14,13,9,10,11,7,3,2,6,5,9,8,4,5,1,0
14,0,6,12,"B*****C*****D*A ","*A** B***C***D**",19,15,11,10,14,13,12,8,4,0,1,5,6,10,9,5,6,2,1,5
14,0,7,2,"B*D****C******A ","ABCD ***********",19,15,11,10,14,13,9,10,6,7,3,2,6,5,9,8,4,5,1,0
